ONE,TWO,THREE,FOUR
44,32,45,73
19,9,74,41
37,85,8,29
63,9,48,78
99,17,72,96
78,5,80,59
66,35,39,75
71,4,34,26
69,14,74,4
95,39,39,60
55,78,31,99
61,34,42,89
48,85,14,5
78,99,31,93
18,65,89,88
65,49,86,33
28,25,28,21
42,1,22,75
48,68,20,44
43,71,96,58
51,32,50,97
99,42,42,15
43,23,36,96
73,11,25,75
83,96,98,2
33,12,52,55
3,68,15,65
75,30,11,76
81,4,70,90
4,3,15,44
90,38,40,32
81,65,77,31
27,45,95,15
45,84,94,1
4,53,63,33
53,4,77,57
10,95,33,19
4,32,44,64
11,82,34,36
77,60,42,52
72,81,31,32
83,0,23,56
60,38,42,28
59,90,23,82
76,83,93,14
66,70,71,17
22,69,6,6
13,37,0,9
29,10,49,15
26,76,77,39
65,95,42,57
7,48,30,0
7,85,42,80
40,34,97,72
32,34,80,53
55,88,79,66
39,68,89,4
10,45,14,89
14,59,3,55
86,52,90,5
85,16,96,82
26,0,50,75
79,67,53,72
1,1,41,66
15,51,69,32
26,79,4,52
78,64,70,18
48,18,99,53
77,45,68,58
62,31,83,55
77,26,84,6
5,2,31,45
47,12,8,46
5,95,7,19
60,70,85,50
49,57,54,98
32,61,70,71
41,83,18,73
55,5,63,52
79,16,97,42
43,16,78,58
28,83,27,98
73,69,51,58
96,10,35,43
26,31,82,1
70,23,22,55
47,51,75,26
63,16,9,28
78,53,79,28
19,26,32,43
78,30,68,83
26,28,36,68
74,79,78,15
1,95,2,91
74,86,91,56
56,28,51,3
79,66,42,5
91,15,42,26
67,34,97,16
62,2,3,74
