ONE,TWO,THREE,FOUR
32,96,6,37
23,20,97,99
93,23,57,53
96,91,10,10
59,55,66,67
51,31,0,54
92,97,40,78
51,90,24,69
28,59,16,8
56,16,84,44
93,96,50,66
8,64,31,67
11,85,44,91
75,45,76,51
70,47,24,88
14,43,64,57
61,35,84,11
25,44,63,27
9,10,60,81
9,21,44,86
1,69,15,1
1,36,78,62
88,46,4,41
98,0,46,57
82,89,5,54
17,6,27,36
81,6,33,14
3,85,4,65
12,94,98,19
2,11,33,81
60,77,76,55
2,77,70,67
95,10,30,88
40,43,78,59
3,24,4,20
69,82,68,5
75,54,86,88
86,2,52,74
77,53,99,73
54,80,46,42
50,58,3,6
70,13,53,29
1,4,11,86
30,85,13,36
12,61,49,71
2,13,10,5
95,40,67,71
3,7,61,36
16,92,52,22
12,17,69,14
91,16,39,42
53,11,47,66
90,0,85,29
36,19,2,62
20,15,77,74
49,5,61,65
66,51,55,36
9,49,79,33
14,42,6,0
49,10,91,23
69,11,5,74
7,25,53,88
46,37,13,32
95,99,82,0
69,70,47,69
17,16,51,86
46,18,10,7
91,82,56,33
23,71,62,3
19,44,24,90
85,51,42,35
29,84,54,44
7,35,68,86
90,78,25,9
0,76,79,77
56,25,80,19
78,97,59,77
1,51,84,41
7,46,27,27
5,74,59,97
87,78,47,20
59,78,48,43
90,1,21,39
40,45,25,72
56,62,73,61
95,47,35,1
46,61,66,35
74,58,1,65
74,0,12,25
51,8,28,49
80,29,73,82
53,1,4,63
64,64,68,48
38,55,94,98
80,92,23,2
36,9,60,82
84,81,79,80
26,78,64,4
65,57,86,2
10,18,15,56
