ORDER_DATE,CATEGORY,주문건수,최고기온,최저기온,강수량,날씨구분
2026-08-01,분식,1,32.8,26.1,2.2,비
2026-08-02,치킨,1,34.1,26.3,0.0,맑음
2026-08-03,피자,1,37.2,25.3,0.1,비
2026-08-04,중식,1,36.6,28.7,2.7,비
2026-08-05,중식,1,37.5,26.8,5.7,비
2026-08-06,일식,1,38.6,28.8,0.0,맑음
2026-08-07,중식,1,38.4,29.4,0.6,비
2026-08-08,분식,2,34.2,25.2,12.7,비
2026-08-09,치킨,2,32.7,23.8,0.2,비
2026-08-10,치킨,1,34.2,21.9,2.4,비
2026-08-10,피자,1,34.2,21.9,2.4,비
2026-08-11,피자,2,33.6,23.3,0.0,맑음
2026-08-12,중식,2,32.0,21.2,0.0,맑음
2026-08-13,중식,2,32.3,22.4,0.9,비
2026-08-14,일식,2,31.6,24.2,3.9,비
2026-08-15,일식,2,27.3,23.6,14.2,비
2026-08-16,분식,2,26.8,23.1,7.6,비
2026-08-17,치킨,1,28.9,23.1,11.7,비
2026-08-17,피자,1,28.9,23.1,11.7,비
2026-08-18,일식,1,30.9,23.2,0.9,비
2026-08-18,중식,1,30.9,23.2,0.9,비
2026-08-19,일식,1,30.0,23.7,0.7,비
2026-08-19,중식,1,30.0,23.7,0.7,비
2026-08-20,분식,1,30.3,24.2,6.7,비
2026-08-20,치킨,1,30.3,24.2,6.7,비
2026-08-21,중식,1,27.2,22.3,29.0,비
2026-08-21,피자,1,27.2,22.3,29.0,비
2026-08-22,분식,1,27.4,22.8,45.5,비
2026-08-22,일식,1,27.4,22.8,45.5,비
2026-08-23,분식,3,32.1,22.5,9.2,비
2026-08-23,일식,1,32.1,22.5,9.2,비
2026-08-24,분식,3,31.4,24.6,0.5,비
2026-08-24,일식,1,31.4,24.6,0.5,비
2026-08-25,분식,2,31.2,24.2,9.7,비
2026-08-25,일식,2,31.2,24.2,9.7,비
2026-08-26,분식,2,29.7,24.6,0.3,비
2026-08-26,일식,1,29.7,24.6,0.3,비
2026-08-27,분식,2,30.5,24.5,3.8,비
2026-08-27,일식,1,30.5,24.5,3.8,비
2026-08-28,치킨,2,29.3,24.4,8.7,비
2026-08-28,피자,1,29.3,24.4,8.7,비
2026-08-29,치킨,2,29.7,24.2,2.1,비
2026-08-29,피자,1,29.7,24.2,2.1,비
2026-08-30,치킨,1,27.3,22.2,2.2,비
2026-08-30,피자,2,27.3,22.2,2.2,비
2026-09-01,치킨,1,24.4,22.4,29.2,비
2026-09-02,치킨,2,28.0,21.9,0.3,비
2026-09-02,피자,1,28.0,21.9,0.3,비
