ORDER_DATE,최고기온,최저기온,강수량
2026-08-01,32.8,26.1,2.2
2026-08-02,34.1,26.3,0.0
2026-08-03,37.2,25.3,0.1
2026-08-04,36.6,28.7,2.7
2026-08-05,37.5,26.8,5.7
2026-08-06,38.6,28.8,0.0
2026-08-07,38.4,29.4,0.6
2026-08-08,34.2,25.2,12.7
2026-08-09,32.7,23.8,0.2
2026-08-10,34.2,21.9,2.4
2026-08-11,33.6,23.3,0.0
2026-08-12,32.0,21.2,0.0
2026-08-13,32.3,22.4,0.9
2026-08-14,31.6,24.2,3.9
2026-08-15,27.3,23.6,14.2
2026-08-16,26.8,23.1,7.6
2026-08-17,28.9,23.1,11.7
2026-08-18,30.9,23.2,0.9
2026-08-19,30.0,23.7,0.7
2026-08-20,30.3,24.2,6.7
2026-08-21,27.2,22.3,29.0
2026-08-22,27.4,22.8,45.5
2026-08-23,32.1,22.5,9.2
2026-08-24,31.4,24.6,0.5
2026-08-25,31.2,24.2,9.7
2026-08-26,29.7,24.6,0.3
2026-08-27,30.5,24.5,3.8
2026-08-28,29.3,24.4,8.7
2026-08-29,29.7,24.2,2.1
2026-08-30,27.3,22.2,2.2
2026-08-31,25.0,22.8,52.7
2026-09-01,24.4,22.4,29.2
2026-09-02,28.0,21.9,0.3
